TUV,47271463.33
NRU,118223430.1
KIR,194647201.9
PLW,268354919.4
STP,418637389
TON,512350059.4
DMA,582403703.7
VCT,824718518.5
WSM,852250191
VUT,934239973.8
KNA,1053244444
COM,1165839927
TCA,1197415000
GRD,1210603704
GNB,1339449165
SLB,1589913622
ATG,1661962963
SYC,1703387387
GMB,1826073740
BLZ,1879613600
CPV,1981845740
TLS,2017924900
LCA,2122450630
CAF,2220307369
LSO,2376328637
BTN,2530547158
BDI,3012334882
LBR,3070518100
CUW,3101787709
AND,3154057987
DJI,3324634256
SUR,3697371950
SLE,4121733705
SWZ,4471598727
SOM,4942319041
GUY,5173759528
BRB,5209000000
TGO,5490272413
FJI,5496250694
MNE,5542577965
MDV,5642179170
BMU,7484113000
MRT,7600656944
MWI,7666704427
XKX,7926133714
TJK,8116626794
KGZ,8454619608
RWA,10354417725
PSS,10634784073
GNQ,11026774945
TCD,11314951343
MDA,11968713370
COG,12267392147
GIN,12296665331
NAM,12366528259
NIC,12520915291
MKD,12547040499
NER,12911689659
BRN,13469422959
BHS,13578800000
ARM,13672802158
MNG,13996719329
MUS,14048430519
MDG,14114631281
HTI,14332163266
BEN,14390709095
MLT,14989415684
ALB,15279183290
MOZ,15291448212
BFA,15990803570
JAM,16458071068
GAB,16874450215
MLI,17279566719
GEO,17477255546
LAO,18173839147
BWA,18340480936
AFG,19291104008
BIH,20164193807
ZWE,21440758800
YEM,22581081994
ZMB,23309773923
SEN,23578084052
ISL,24188038474
TTO,24269714810
PNG,24829107011
CYP,24948935408
HND,25095395475
SLV,27022640000
KHM,27089389787
SDN,30513456085
NPL,30641380604
EST,31471100656
LVA,34102913582
UGA,35165157017
PRY,38145288940
BHR,38574069149
TUN,38796687568
CMR,39007354359
BOL,40895322844
JOR,44502895862
AZE,48047647059
COD,50400746171
SRB,51475016532
LBN,51991634492
LBY,52091152228
MAC,53859116536
SVN,54174227309
LTU,54627411860
URY,56045912953
UZB,57921286440
CIV,58539424930
HRV,60752588976
CRI,61801385049
BLR,63080457023
TZA,63177068175
PAN,66800800000
GHA,66983634224
BGR,68558815112
LUX,71104919108
MMR,76085852617
OMN,76331518669
GTM,76710355347
CSS,77721714918
LKA,84008783756
AGO,88815697793
DOM,88941299734
KEN,95503088538
ETH,95912590628
PRI,1.04989E+11
SVK,1.0508E+11
ECU,1.07436E+11
MAR,1.197E+11
KWT,1.34629E+11
UKR,1.53781E+11
HUN,1.63469E+11
DZA,1.71091E+11
QAT,1.75838E+11
KAZ,1.81666E+11
NZL,2.06929E+11
GRC,2.09853E+11
PER,2.26848E+11
IRQ,2.34094E+11
PRT,2.38785E+11
ROU,2.50077E+11
CZE,2.50681E+11
VNM,2.61921E+11
FIN,2.69296E+11
PAK,2.78222E+11
CHL,2.82318E+11
BGD,3.02571E+11
EGY,3.03092E+11
COL,3.23616E+11
DNK,3.50104E+11
ZAF,3.51432E+11
MYS,3.64681E+11
HKG,3.65712E+11
SGP,3.72063E+11
PHL,3.76796E+11
IRL,3.88699E+11
ISR,3.94652E+11
NOR,4.03336E+11
ARE,4.21142E+11
OSS,4.32093E+11
AUT,4.45075E+11
ARG,4.45445E+11
NGA,4.4812E+11
SST,5.20457E+11
SWE,5.30884E+11
BEL,5.33097E+11
LIC,5.41512E+11
THA,5.43549E+11
POL,5.95858E+11
CHE,7.03082E+11
TUR,7.61425E+11
HPC,7.83062E+11
SAU,7.92967E+11
NLD,9.07051E+11
IDB,9.91548E+11
LDC,1.11524E+12
IDN,1.11919E+12
MEX,1.26887E+12
IDX,1.33197E+12
ESP,1.39349E+12
AUS,1.39657E+12
PRE,1.40379E+12
KOR,1.64674E+12
CEB,1.66885E+12
RUS,1.69988E+12
CAN,1.73643E+12
SSA,1.75118E+12
SSF,1.76694E+12
TSS,1.76694E+12
FCS,1.77846E+12
BRA,1.83976E+12
ITA,2.00358E+12
IDA,2.32031E+12
FRA,2.71552E+12
ARB,2.81741E+12
GBR,2.82911E+12
IND,2.86893E+12
ECA,3.24846E+12
SAS,3.59184E+12
TSA,3.59184E+12
MEA,3.64961E+12
DEU,3.86112E+12
TEC,4.15516E+12
JPN,5.08177E+12
LAC,5.1496E+12
TLA,5.48796E+12
LCN,5.73377E+12
LMC,6.33493E+12
EAR,1.19899E+13
EMU,1.33561E+13
CHN,1.42799E+13
EUU,1.56264E+13
TEA,1.71189E+13
EAP,1.71517E+13
USA,2.14332E+13
ECS,2.27928E+13
LTE,2.29204E+13
NAC,2.31771E+13
UMC,2.57418E+13
EAS,2.69247E+13
IBD,3.1539E+13
MIC,3.20879E+13
LMY,3.26435E+13
IBT,3.3852E+13
PST,5.07699E+13
OED,5.36994E+13
HIC,5.51406E+13
WLD,8.77346E+13
